Type,Sentiment,Score,Content ID,Datetime,Category
interested,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-06-24 09:31:00,
hate,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-07 21:39:16,
intrigued,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-01-21 18:28:01,
dislike,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-27 00:21:50,
worried,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-08-22 12:06:49,
cherish,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-08-03 06:29:58,
want,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-06-04 04:57:36,
super love,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-10-21 09:07:21,
dislike,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-12-26 19:46:34,
scared,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-02 22:47:19,
indifferent,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-31 09:48:00,
interested,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-06-14 13:44:48,
scared,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-12-27 17:04:31,
scared,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-11 03:51:01,
interested,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-12-07 19:07:35,
interested,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-10-26 05:27:32,
worried,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-09-26 18:43:58,
scared,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-11-25 13:01:22,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-07-11 05:51:54,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-19 16:23:19,
interested,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-10-11 18:31:06,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-11-02 20:15:03,
want,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-10-01 03:35:13,
disgust,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-11 20:10:20,
hate,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-10-17 11:46:24,
like,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-08-09 19:41:24,
love,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-01 02:40:09,
adore,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-01-30 09:36:48,
want,,,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2021-03-31 15:24:36,
super love,,,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2021-02-05 17:00:19,
heart,,,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2021-02-19 16:29:59,
worried,,,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2020-07-25 00:00:21,
adore,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-07-13 02:38:53,
indifferent,,,0bedca96-fb76-4287-a83c-17330ed39cce,2021-01-13 13:11:03,
worried,,,0bedca96-fb76-4287-a83c-17330ed39cce,2021-01-02 16:46:38,
intrigued,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-11-26 02:25:57,
want,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-08-25 19:18:58,
hate,,,0bedca96-fb76-4287-a83c-17330ed39cce,2021-02-01 00:15:07,
love,,,0bedca96-fb76-4287-a83c-17330ed39cce,2021-06-04 14:36:48,
adore,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-08-19 13:38:44,
cherish,,,0bedca96-fb76-4287-a83c-17330ed39cce,2021-04-22 02:08:07,
like,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-08-15 18:16:38,
love,,,0bedca96-fb76-4287-a83c-17330ed39cce,2020-11-26 13:42:17,
want,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-04-14 00:56:54,
indifferent,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-07-21 21:27:18,
dislike,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-03-29 06:57:35,
want,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-05-20 16:11:03,
like,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-02 06:09:02,
indifferent,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-10-24 15:37:55,
heart,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-09-07 14:42:05,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-03-04 02:46:37,
adore,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-01-07 14:08:59,
like,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-03-27 04:56:15,
intrigued,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-21 21:25:27,
cherish,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-08-22 01:25:23,
peeking,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-06-14 11:45:51,
worried,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-07-15 19:28:53,
intrigued,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-03-21 14:39:14,
super love,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-04-07 03:15:32,
cherish,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-04-24 06:56:18,
heart,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-09-30 14:05:52,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-01-21 07:08:24,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-01-31 13:48:15,
hate,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-12-24 03:24:57,
disgust,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-05-27 01:44:22,
disgust,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-02-13 04:14:45,
adore,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-07-14 04:36:58,
dislike,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-07-15 16:03:17,
like,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-10-08 17:23:39,
heart,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-12 23:55:59,
intrigued,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-07-09 08:58:04,
adore,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-06-26 23:45:10,
worried,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-20 13:18:45,
like,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-05-29 21:34:57,
indifferent,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-02-22 02:48:34,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-01-07 18:39:43,
adore,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-10-01 15:10:15,
hate,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-21 08:24:23,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2021-04-15 13:50:58,
want,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-12-01 15:06:19,
scared,,,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-07 00:47:34,
super love,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-06-30 13:08:43,
heart,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-08-04 03:09:30,
intrigued,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-07-28 07:01:21,
super love,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-10-25 02:39:21,
worried,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-07-05 03:37:53,
cherish,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-04-28 15:16:13,
indifferent,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-01-31 00:54:10,
adore,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-08-29 11:37:51,
intrigued,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-10-15 12:09:51,
scared,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-10-31 21:46:10,
heart,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-10-12 09:40:05,
want,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-12-12 12:22:24,
like,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-01-09 16:37:02,
hate,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-08-23 04:39:40,
love,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-12-22 04:20:41,
disgust,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-11-07 08:49:52,
adore,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-04-17 22:45:10,
scared,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-04-21 00:21:08,
intrigued,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-07-06 02:08:44,
love,,,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2021-03-26 05:42:40,
cherish,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-09-13 11:24:46,
worried,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-28 21:06:52,
indifferent,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-20 01:15:51,
super love,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-09-03 01:15:28,
worried,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-09 10:46:06,
indifferent,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-09-19 22:29:36,
super love,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-29 07:21:43,
worried,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-15 19:04:28,
intrigued,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-08-15 12:27:11,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-02-15 03:32:10,
scared,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-03-29 19:03:01,
scared,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-07-29 10:40:21,
hate,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-08 13:47:13,
heart,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-11-06 02:36:08,
super love,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-07-25 16:31:01,
worried,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-04 00:56:40,
super love,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-09-22 02:08:51,
hate,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-07-05 05:50:42,
heart,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-11 06:02:02,
want,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-02-28 07:51:53,
intrigued,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-06 13:45:28,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-05 09:54:26,
interested,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-08-27 18:36:22,
heart,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-10-15 01:29:34,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-15 11:33:42,
intrigued,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-03-01 20:26:23,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-11-28 02:11:34,
cherish,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-30 13:37:07,
super love,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-02-14 21:15:34,
cherish,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-03-27 20:07:46,
dislike,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-08-23 07:38:36,
heart,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-11-09 08:23:03,
hate,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-12 20:45:29,
hate,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-04-15 13:23:20,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-08-16 22:58:59,
disgust,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-09-11 16:22:49,
cherish,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-13 15:59:17,
dislike,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-03 08:08:06,
disgust,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-10-13 16:31:34,
want,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-12-04 10:04:19,
peeking,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-25 11:00:32,
hate,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-05-04 19:40:16,
disgust,,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-07-23 19:31:31,
love,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-01-06 06:08:01,
worried,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-10-21 03:48:31,
worried,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-02-23 22:36:09,
super love,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-01-26 01:00:43,
peeking,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-12-18 14:07:00,
indifferent,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-05-23 23:27:54,
worried,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-10-31 03:17:05,
indifferent,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-02-20 20:02:26,
super love,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-10-28 13:14:29,
disgust,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-12-08 13:12:56,
scared,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-11-04 21:06:52,
scared,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-08-24 13:48:29,
disgust,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-01-05 13:15:46,
adore,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-02-28 09:21:36,
dislike,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-09-22 04:09:35,
disgust,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-11-08 02:43:54,
love,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-10-26 11:48:40,
heart,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-11-04 14:58:21,
peeking,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-03-07 06:31:09,
intrigued,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-06-17 23:27:43,
intrigued,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-07-27 23:54:47,
disgust,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-04-19 01:45:56,
like,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-10-05 13:55:20,
super love,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-09-28 08:49:01,
dislike,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-02-25 04:02:48,
heart,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-12-24 22:31:22,
heart,,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-06-15 12:15:12,
